AL080059
Contig63649_RC
Contig46218_RC
NM_016359
AA555029_RC
NM_003748
Contig38288_RC
NM_003862
Contig28552_RC
Contig32125_RC
U82987
AL137718
AB037863
NM_020188
NM_020974
NM_000127
NM_002019
NM_002073
NM_000436
NM_004994
Contig55377_RC
Contig35251_RC
Contig25991
NM_003875
NM_006101
NM_003882
NM_003607
AF073519
AF052162
NM_000849
Contig32185_RC
NM_016577
Contig48328_RC
Contig46223_RC
NM_015984
NM_006117
AK000745
Contig40831_RC
NM_003239
NM_014791
X05610
NM_016448
NM_018401
NM_000788
Contig51464_RC
AL080079
NM_006931
AF257175
NM_014321
NM_002916
Contig55725_RC
Contig24252_RC
AF201951
NM_005915
NM_001282
Contig56457_RC
NM_000599
NM_020386
NM_014889
AF055033
NM_006681
NM_007203
Contig63102_RC
NM_003981
Contig20217_RC
NM_001809
Contig2399_RC
NM_004702
NM_007036
NM_018354
